day,state_Y,state_N,state_A,state_C,state_B,control_uC,control_uA,control_uF,control_control_mode,control_arm_name,param_NA_eff,param_lambda_eff,param_k1,param_delta_Y_min
74,0.832595193316592,0.8650285825034266,0.9996670103634684,-1.2000000000000006,0.07933251603430358,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
75,0.8277530419529392,0.8575734743933292,0.9997003093271215,-1.2200000000000006,0.0735327612240125,0.0,0.1,0.0,fluctuation,injunctive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
76,0.8197680511706186,0.8500123897487871,0.9997302783944093,-1.2400000000000007,0.06947293285680875,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
77,0.8154841050238847,0.8431067328038067,0.9997572505549683,-1.2600000000000007,0.06663105299976613,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
78,0.8177934722898673,0.8380440807010188,0.9997815254994715,-1.2800000000000007,0.08761186229879149,0.0,0.1,0.19141770999129337,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
79,0.7890456127941312,0.8282443871196413,0.9998033729495244,-1.3000000000000007,0.07932830360915404,0.0,0.1,0.0,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
80,0.7797469956497604,0.8185449088256652,0.999823035654572,-1.3200000000000007,0.07352981252640782,0.0,0.1,0.0,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
81,0.7699298474579974,0.8088218965521317,0.9998407320891147,-1.3400000000000007,0.06947086876848547,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
82,0.7596085724224144,0.7989792317261882,0.9998566588802033,-1.3600000000000008,0.06662960813793983,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
83,0.764623378431798,0.7921080610673102,0.999870992992183,-1.3800000000000008,0.08757784423069218,0.0,0.1,0.19114265445111908,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
84,0.7279490393147939,0.7792762567168071,0.9998838936929647,-1.4000000000000008,0.07930449096148452,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
85,0.7178600464532066,0.766993014664087,0.9998955043236682,-1.4200000000000008,0.07351314367303916,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
86,0.7016556197340804,0.7539255356780857,0.9999059538913014,-1.4400000000000008,0.06945920057112741,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
87,0.6823461528986053,0.7396096591221897,0.9999153585021713,-1.3800000000000008,0.09062144039978919,0.08,0.1,0.0,precision,injunctive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
88,0.6939246815691545,0.7304726636115827,0.9999238226519541,-1.3200000000000007,0.10543500827985242,0.08,0.1,0.0,precision,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
89,0.7060802017488128,0.7255941712390287,0.9999314403867587,-1.2600000000000007,0.11580450579589668,0.08,0.1,0.0,precision,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
